Code,Entity,suicide_rate,gdp_per_capita,alcohol_liters_per_year,avg_surface_temperature,sunshine_hours_year,latitude,unemployment_rate,gini_index,urban_population_pct,population_density,literacy_rate,homicide_rate,religiosity_share,one_person_households_pct,fruit_veg_consumption_kg_per_capita,meat_kg_per_capita,family_important_pct,friends_important_pct,drug_use_death_rate,overweight_prevalence_pct,median_age,life_expectancy,healthcare_expenditure_per_capita_ppp
MUS,Mauritius,9.32409090909091,19077.80415909091,7.627142857142856,23.71831427272728,,-20.185543,7.819863636363636,0.3696000866666666,41.55395454545455,636.5550872727273,90.76875,2.3345916071428574,99.257033,,135.6839418636364,47.77160190909091,,,1.4363636363636365,47.59747045454546,32.08440909090909,73.50987727272728,769.4253009090909
MWI,Malawi,7.123636363636364,1440.7304772727273,3.3190476190476192,22.17906940909091,2795.866666666667,-13.217226,5.040227272727273,0.421455525,15.818772727272728,161.92650613636363,64.687725,4.051271323076923,99.0428225,7.724854414399999,143.67912886363638,13.04374665,,,0.4377272727272727,18.029821818181816,15.970818181818181,57.422827272727275,76.47498409090909
MYS,Malaysia,4.538636363636363,24358.764681818186,0.6366666666666666,25.652732,,3.792393,3.431363636363636,0.43106535125,70.64854545454546,87.67630454545454,94.6,1.7896010945454544,98.733643,7.139491293,103.3681366818182,58.62484513636364,99.795635,93.34533,0.1381818181818181,44.745661818181816,25.28459090909091,74.8417909090909,730.7438445454545
NAM,Namibia,9.256818181818184,10177.171336363635,5.113809523809524,21.5716195,3737.5,-22.129246,20.94672727272728,0.6111609333333333,42.31618181818182,2.6848898,85.4341475,16.310306423076923,97.07228,13.769502446,73.68648336363637,32.47964336363636,,,0.3031818181818181,31.17608681818182,19.492727272727272,56.93812727272727,768.3767627272726
NER,Niger,4.201363636363636,1374.758340909091,0.1533333333333333,27.729161681818184,3203.2,17.418465,1.3325909090909092,0.3625696666666667,16.302227272727272,13.660773272727273,24.666666666666668,4.62795355,99.28156,3.437125586,96.67190688636364,14.64372275,,,0.015,13.962871818181817,14.605818181818181,56.14248181818182,54.13181195454546
NGA,Nigeria,4.954090909090909,4996.242304545455,5.915238095238095,27.205413045454545,2669.08,9.595315,4.157681818181818,0.36446312,43.87036363636364,187.1280036363636,59.91175833333333,26.769154,99.59841,13.455198232,125.82596372727272,8.098799690909091,99.63987636,89.32006,0.0213636363636363,27.670669999999998,16.822,50.86779545454545,153.22450954545454
NIC,Nicaragua,5.623636363636364,6044.3535681818175,4.015238095238096,25.47881868181818,2759.9,12.845494,5.916590909090909,0.479481815,57.06631818181818,48.17255109090909,79.20485000000001,11.022383185714286,87.10958500000001,4.58559197,65.30522324545456,24.935152045454547,99.58333,74.41667,0.1095454545454545,60.413154090909096,21.337909090909093,71.13437272727273,335.9525768181818
NLD,Netherlands,10.43318181818182,61783.54118181818,10.128571428571428,10.65410640909091,1662.0,52.06979,4.640181818181818,0.2831538444444444,86.39204545454545,500.2869354545455,,0.8687024868181819,50.17106,36.48571428571429,286.2210724545455,73.30567154545454,93.3694762,95.473994,1.035909090909091,46.87019818181818,39.509181818181816,80.48841818181819,4623.815095454545
NOR,Norway,12.063181818181818,84216.48381818182,7.068095238095238,1.1671345240909092,1373.3333333333333,68.79427,3.716272727272727,0.2746921645,79.53777272727272,13.540878022727272,,0.7388847171428571,81.435237,42.39375,233.03284831818183,67.50549245454546,98.897539,97.591115,7.193636363636363,53.62571818181818,37.60722727272727,81.16227272727272,5368.437322727273
NPL,Nepal,10.017272727272728,3271.1726863636363,0.7904761904761906,13.265708590909092,,28.247923,10.797,0.383043455,17.069863636363635,189.20112,62.872702,2.666089080952381,99.998415,5.09192900925,152.73180877272728,12.096683318181816,,,0.2590909090909091,19.06305,20.440590909090908,66.62913181818182,116.62305054545455
NZL,New Zealand,12.337727272727273,42518.0454090909,9.97857142857143,10.53690368181818,1967.06,-41.829365,5.025772727272727,,86.32436363636363,16.786584409090906,,1.18714133,52.2322385,23.314621606666663,227.2370350909091,97.47688,98.239805,92.953395,1.389090909090909,63.05319909090909,35.480909090909094,80.70942272727272,3012.562745454545
OMN,Oman,1.8454545454545448,41827.87790909091,0.8709523809523809,27.96952486363637,3493.3,20.601805,3.648136363636364,,77.46490909090909,10.73535226818182,90.0,1.261641035,99.891813,,331.8541229090909,50.81612159090909,,,0.4313636363636364,57.297518181818184,24.84222727272727,76.95489545454545,1249.375984090909
PAK,Pakistan,6.511818181818182,4385.649718181819,0.0700952380952381,20.66089827272728,3108.5166666666664,29.948498,2.090909090909091,0.2992864555555555,35.12536363636364,257.5673559090909,55.46153846153846,5.3505523,99.986755,1.175871951,59.63289131818182,14.060676045454546,98.098754,73.4476025,0.4654545454545454,36.913683181818186,18.60368181818182,64.43640454545454,100.8359309090909
PAN,Panama,4.096818181818182,23698.59122727273,6.032380952380953,25.041031545454544,1743.5,8.514557,6.035363636363636,0.5252267161904762,65.36772727272727,49.49177109090909,94.25,11.87366959090909,93.885663,13.70181442,124.06460927272728,64.78292436363637,,,0.2477272727272727,60.587730909090915,26.067000000000004,76.23258636363636,1447.1161636363636
PER,Peru,1.3909090909090909,11898.64881818182,6.949523809523809,18.869372181818186,2281.65,-9.154388,4.171818181818182,0.4644967445454545,76.23709090909091,23.07245490909091,92.0909090909091,7.133158945454546,96.0409375,11.966873117285711,170.23070277272728,34.226116636363635,98.929166,54.826554,0.0336363636363636,55.525025,25.267954545454543,73.2510409090909,478.00858772727275
PHL,Philippines,2.811818181818182,6694.1392,5.889047619047619,26.045206727272728,2103.1,11.76275,3.3467272727272728,0.40821163625,46.12168181818182,325.7950645454546,95.57142857142856,7.567432192307693,99.941527,4.787518006666667,157.8340862727273,32.93243609090909,99.83880125,89.58320499999999,0.0681818181818181,26.709123181818185,21.285227272727273,68.78197272727272,238.96694618181817
